193, 0
:, -1
int, -1
178, 1
:, -1
int, -1
#, -1
246, 2
:, -1
int, -1
sys, -1
., -1
read, -1
(, -1
193, 0
), -1
178, 1
=, -1
123, 3
#, -1
246, 2
=, -1
122, 4
while, -1
178, 1
*, -1
178, 1
<, -1
193, 0
and, -1
#, -1
246, 2
=, -1
=, -1
122, 4
do, -1
begin, -1
:, -1
if, -1
193, 0
%, -1
178, 1
=, -1
=, -1
121, 5
begin, -1
:, -1
#, -1
246, 2
=, -1
121, 5
else, -1
begin, -1
:, -1
178, 1
=, -1
178, 1
+, -1
122, 4
end, -1
;, -1
end, -1
;, -1
if, -1
#, -1
246, 2
=, -1
=, -1
122, 4
begin, -1
:, -1
sys, -1
., -1
write, -1
(, -1
442, 6
), -1
else, -1
begin, -1
:, -1
sys, -1
., -1
write, -1
(, -1
191, 7
), -1
end, -1
;, -1
170, 8
:, -1
int, -1
171, 9
:, -1
int, -1
sys, -1
., -1
write, -1
(, -1
439, 10
), -1
sys, -1
., -1
read, -1
(, -1
170, 8
), -1
sys, -1
., -1
write, -1
(, -1
28, 11
), -1
sys, -1
., -1
read, -1
(, -1
171, 9
), -1
220, 12
:, -1
int, -1
while, -1
171, 9
!, -1
=, -1
121, 5
do, -1
begin, -1
:, -1
220, 12
=, -1
170, 8
%, -1
171, 9
170, 8
=, -1
171, 9
171, 9
=, -1
220, 12
end, -1
;, -1
sys, -1
., -1
write, -1
(, -1
124, 13
), -1
sys, -1
., -1
write, -1
(, -1
170, 8
), -1
170, 8
:, -1
int, -1
171, 9
:, -1
int, -1
172, 14
:, -1
int, -1
sys, -1
., -1
write, -1
(, -1
403, 15
), -1
sys, -1
., -1
write, -1
(, -1
439, 10
), -1
sys, -1
., -1
read, -1
(, -1
170, 8
), -1
sys, -1
., -1
write, -1
(, -1
28, 11
), -1
sys, -1
., -1
read, -1
(, -1
171, 9
), -1
sys, -1
., -1
write, -1
(, -1
117, 16
), -1
sys, -1
., -1
read, -1
(, -1
172, 14
), -1
#, -1
7, 17
:, -1
int, -1
#, -1
7, 17
=, -1
171, 9
*, -1
171, 9
-, -1
125, 18
*, -1
170, 8
*, -1
172, 14
148, 19
:, -1
real, -1
149, 20
:, -1
real, -1
if, -1
#, -1
7, 17
<, -1
121, 5
begin, -1
:, -1
sys, -1
., -1
write, -1
(, -1
208, 21
), -1
end, -1
;, -1
if, -1
#, -1
7, 17
=, -1
121, 5
begin, -1
:, -1
148, 19
=, -1
(, -1
neg, -1
171, 9
), -1
/, -1
(, -1
123, 3
*, -1
170, 8
), -1
end, -1
;, -1
148, 19
=, -1
(, -1
(, -1
neg, -1
171, 9
), -1
-, -1
(, -1
rad, -1
#, -1
7, 17
), -1
), -1
/, -1
(, -1
123, 3
*, -1
170, 8
), -1
149, 20
=, -1
(, -1
(, -1
neg, -1
171, 9
), -1
+, -1
(, -1
rad, -1
#, -1
7, 17
), -1
), -1
/, -1
(, -1
123, 3
*, -1
170, 8
), -1
sys, -1
., -1
write, -1
(, -1
35, 22
), -1
sys, -1
., -1
write, -1
(, -1
148, 19
), -1
sys, -1
., -1
write, -1
(, -1
156, 23
), -1
sys, -1
., -1
write, -1
(, -1
149, 20
), -1
